"","sampleSizes","termCounts"
"1",1,2
"2",2,2
"3",3,2
"4",4,2
"5",5,3
"6",6,3
"7",7,3
"8",8,3
"9",9,3
"10",10,3
"11",11,3
"12",12,3
"13",13,3
"14",14,4
"15",15,4
"16",16,4
"17",17,4
"18",18,4
"19",19,4
"20",20,4
"21",21,4
"22",22,4
"23",23,4
"24",24,4
"25",25,4
"26",26,4
"27",27,4
"28",28,4
"29",29,4
"30",30,4
"31",31,4
"32",32,5
"33",33,5
"34",34,5
"35",35,5
"36",36,5
"37",37,5
"38",38,5
"39",39,5
"40",40,5
"41",41,5
"42",42,5
"43",43,5
"44",44,5
"45",45,5
"46",46,5
"47",47,5
"48",48,5
"49",49,5
"50",50,5
"51",51,5
"52",52,5
"53",53,5
"54",54,5
"55",55,5
"56",56,5
"57",57,5
"58",58,5
"59",59,5
"60",60,5
"61",61,5
"62",62,6
"63",63,6
"64",64,6
"65",65,6
"66",66,6
"67",67,6
"68",68,6
"69",69,6
"70",70,6
"71",71,6
"72",72,6
"73",73,6
"74",74,6
"75",75,6
"76",76,6
"77",77,6
"78",78,6
"79",79,6
"80",80,6
"81",81,6
"82",82,6
"83",83,6
"84",84,6
"85",85,6
"86",86,6
"87",87,6
"88",88,6
"89",89,6
"90",90,6
"91",91,6
"92",92,6
"93",93,6
"94",94,6
"95",95,6
"96",96,6
"97",97,6
"98",98,6
"99",99,6
"100",100,6
"101",101,6
"102",102,6
"103",103,6
"104",104,6
"105",105,6
"106",106,6
"107",107,6
"108",108,6
"109",109,6
"110",110,7
"111",111,7
"112",112,7
"113",113,7
"114",114,7
"115",115,7
"116",116,7
"117",117,7
"118",118,7
"119",119,7
"120",120,7
"121",121,7
"122",122,7
"123",123,7
"124",124,7
"125",125,7
"126",126,7
"127",127,7
"128",128,7
"129",129,7
"130",130,7
"131",131,7
"132",132,7
"133",133,7
"134",134,7
"135",135,7
"136",136,7
"137",137,7
"138",138,7
"139",139,7
"140",140,7
"141",141,7
"142",142,7
"143",143,7
"144",144,7
"145",145,7
"146",146,7
"147",147,7
"148",148,7
"149",149,7
"150",150,7
"151",151,7
"152",152,7
"153",153,7
"154",154,7
"155",155,7
"156",156,7
"157",157,7
"158",158,7
"159",159,7
"160",160,7
"161",161,7
"162",162,7
"163",163,7
"164",164,7
"165",165,7
"166",166,7
"167",167,7
"168",168,7
"169",169,7
"170",170,7
"171",171,7
"172",172,7
"173",173,7
"174",174,7
"175",175,7
"176",176,7
"177",177,7
"178",178,7
"179",179,7
"180",180,7
"181",181,7
"182",182,8
"183",183,8
"184",184,8
"185",185,8
"186",186,8
"187",187,8
"188",188,8
"189",189,8
"190",190,8
"191",191,8
"192",192,8
"193",193,8
"194",194,8
"195",195,8
"196",196,8
"197",197,8
"198",198,8
"199",199,8
"200",200,8
"201",201,8
"202",202,8
"203",203,8
"204",204,8
"205",205,8
"206",206,8
"207",207,8
"208",208,8
"209",209,8
"210",210,8
"211",211,8
"212",212,8
"213",213,8
"214",214,8
"215",215,8
"216",216,8
"217",217,8
"218",218,8
"219",219,8
"220",220,8
"221",221,8
"222",222,8
"223",223,8
"224",224,8
"225",225,8
"226",226,8
"227",227,8
"228",228,8
"229",229,8
"230",230,8
"231",231,8
"232",232,8
"233",233,8
"234",234,8
"235",235,8
"236",236,8
"237",237,8
"238",238,8
"239",239,8
"240",240,8
"241",241,8
"242",242,8
"243",243,8
"244",244,8
"245",245,8
"246",246,8
"247",247,8
"248",248,8
"249",249,8
"250",250,8
"251",251,8
"252",252,8
"253",253,8
"254",254,8
"255",255,8
"256",256,8
"257",257,8
"258",258,8
"259",259,8
"260",260,8
"261",261,8
"262",262,8
"263",263,8
"264",264,8
"265",265,8
"266",266,8
"267",267,8
"268",268,8
"269",269,8
"270",270,8
"271",271,8
"272",272,8
"273",273,8
"274",274,8
"275",275,8
"276",276,8
"277",277,8
"278",278,8
"279",279,8
"280",280,8
"281",281,8
"282",282,9
"283",283,9
"284",284,9
"285",285,9
"286",286,9
"287",287,9
"288",288,9
"289",289,9
"290",290,9
"291",291,9
"292",292,9
"293",293,9
"294",294,9
"295",295,9
"296",296,9
"297",297,9
"298",298,9
"299",299,9
"300",300,9
"301",301,9
"302",302,9
"303",303,9
"304",304,9
"305",305,9
"306",306,9
"307",307,9
"308",308,9
"309",309,9
"310",310,9
"311",311,9
"312",312,9
"313",313,9
"314",314,9
"315",315,9
"316",316,9
"317",317,9
"318",318,9
"319",319,9
"320",320,9
"321",321,9
"322",322,9
"323",323,9
"324",324,9
"325",325,9
"326",326,9
"327",327,9
"328",328,9
"329",329,9
"330",330,9
"331",331,9
"332",332,9
"333",333,9
"334",334,9
"335",335,9
"336",336,9
"337",337,9
"338",338,9
"339",339,9
"340",340,9
"341",341,9
"342",342,9
"343",343,9
"344",344,9
"345",345,9
"346",346,9
"347",347,9
"348",348,9
"349",349,9
"350",350,9
"351",351,9
"352",352,9
"353",353,9
"354",354,9
"355",355,9
"356",356,9
"357",357,9
"358",358,9
"359",359,9
"360",360,9
"361",361,9
"362",362,9
"363",363,9
"364",364,9
"365",365,9
"366",366,9
"367",367,9
"368",368,9
"369",369,9
"370",370,9
"371",371,9
"372",372,9
"373",373,9
"374",374,9
"375",375,9
"376",376,9
"377",377,9
"378",378,9
"379",379,9
"380",380,9
"381",381,9
"382",382,9
"383",383,9
"384",384,9
"385",385,9
"386",386,9
"387",387,9
"388",388,9
"389",389,9
"390",390,9
"391",391,9
"392",392,9
"393",393,9
"394",394,9
"395",395,9
"396",396,9
"397",397,9
"398",398,9
"399",399,9
"400",400,9
"401",401,9
"402",402,9
"403",403,9
"404",404,9
"405",405,9
"406",406,9
"407",407,9
"408",408,9
"409",409,9
"410",410,9
"411",411,9
"412",412,9
"413",413,9
"414",414,9
"415",415,9
"416",416,9
"417",417,9
"418",418,10
"419",419,10
"420",420,10
"421",421,10
"422",422,10
"423",423,10
"424",424,10
"425",425,10
"426",426,10
"427",427,10
"428",428,10
"429",429,10
"430",430,10
"431",431,10
"432",432,10
"433",433,10
"434",434,10
"435",435,10
"436",436,10
"437",437,10
"438",438,10
"439",439,10
"440",440,10
"441",441,10
"442",442,10
"443",443,10
"444",444,10
"445",445,10
"446",446,10
"447",447,10
"448",448,10
"449",449,10
"450",450,10
"451",451,10
"452",452,10
"453",453,10
"454",454,10
"455",455,10
"456",456,10
"457",457,10
"458",458,10
"459",459,10
"460",460,10
"461",461,10
"462",462,10
"463",463,10
"464",464,10
"465",465,10
"466",466,10
"467",467,10
"468",468,10
"469",469,10
"470",470,10
"471",471,10
"472",472,10
"473",473,10
"474",474,10
"475",475,10
"476",476,10
"477",477,10
"478",478,10
"479",479,10
"480",480,10
"481",481,10
"482",482,10
"483",483,10
"484",484,10
"485",485,10
"486",486,10
"487",487,10
"488",488,10
"489",489,10
"490",490,10
"491",491,10
"492",492,10
"493",493,10
"494",494,10
"495",495,10
"496",496,10
"497",497,10
"498",498,10
"499",499,10
"500",500,10
"501",501,10
"502",502,10
"503",503,10
"504",504,10
"505",505,10
"506",506,10
"507",507,10
"508",508,10
"509",509,10
"510",510,10
"511",511,10
"512",512,10
"513",513,10
"514",514,10
"515",515,10
"516",516,10
"517",517,10
"518",518,10
"519",519,10
"520",520,10
"521",521,10
"522",522,10
"523",523,10
"524",524,10
"525",525,10
"526",526,10
"527",527,10
"528",528,10
"529",529,10
"530",530,10
"531",531,10
"532",532,10
"533",533,10
"534",534,10
"535",535,10
"536",536,10
"537",537,10
"538",538,10
"539",539,10
"540",540,10
"541",541,10
"542",542,10
"543",543,10
"544",544,10
"545",545,10
"546",546,10
"547",547,10
"548",548,10
"549",549,10
"550",550,10
"551",551,10
"552",552,10
"553",553,10
"554",554,10
"555",555,10
"556",556,10
"557",557,10
"558",558,10
"559",559,10
"560",560,10
"561",561,10
"562",562,10
"563",563,10
"564",564,10
"565",565,10
"566",566,10
"567",567,10
"568",568,10
"569",569,10
"570",570,10
"571",571,10
"572",572,10
"573",573,10
"574",574,10
"575",575,10
"576",576,10
"577",577,10
"578",578,10
"579",579,10
"580",580,10
"581",581,10
"582",582,10
"583",583,10
"584",584,10
"585",585,10
"586",586,10
"587",587,10
"588",588,10
"589",589,10
"590",590,10
"591",591,10
"592",592,10
"593",593,10
"594",594,10
"595",595,10
"596",596,10
"597",597,10
"598",598,11
"599",599,11
"600",600,11
"601",601,11
"602",602,11
"603",603,11
"604",604,11
"605",605,11
"606",606,11
"607",607,11
"608",608,11
"609",609,11
"610",610,11
"611",611,11
"612",612,11
"613",613,11
"614",614,11
"615",615,11
"616",616,11
"617",617,11
"618",618,11
"619",619,11
"620",620,11
"621",621,11
"622",622,11
"623",623,11
"624",624,11
"625",625,11
"626",626,11
"627",627,11
"628",628,11
"629",629,11
"630",630,11
"631",631,11
"632",632,11
"633",633,11
"634",634,11
"635",635,11
"636",636,11
"637",637,11
"638",638,11
"639",639,11
"640",640,11
"641",641,11
"642",642,11
"643",643,11
"644",644,11
"645",645,11
"646",646,11
"647",647,11
"648",648,11
"649",649,11
"650",650,11
"651",651,11
"652",652,11
"653",653,11
"654",654,11
"655",655,11
"656",656,11
"657",657,11
"658",658,11
"659",659,11
"660",660,11
"661",661,11
"662",662,11
"663",663,11
"664",664,11
"665",665,11
"666",666,11
"667",667,11
"668",668,11
"669",669,11
"670",670,11
"671",671,11
"672",672,11
"673",673,11
"674",674,11
"675",675,11
"676",676,11
"677",677,11
"678",678,11
"679",679,11
"680",680,11
"681",681,11
"682",682,11
"683",683,11
"684",684,11
"685",685,11
"686",686,11
"687",687,11
"688",688,11
"689",689,11
"690",690,11
"691",691,11
"692",692,11
"693",693,11
"694",694,11
"695",695,11
"696",696,11
"697",697,11
"698",698,11
"699",699,11
"700",700,11
"701",701,11
"702",702,11
"703",703,11
"704",704,11
"705",705,11
"706",706,11
"707",707,11
"708",708,11
"709",709,11
"710",710,11
"711",711,11
"712",712,11
"713",713,11
"714",714,11
"715",715,11
"716",716,11
"717",717,11
"718",718,11
"719",719,11
"720",720,11
"721",721,11
"722",722,11
"723",723,11
"724",724,11
"725",725,11
"726",726,11
"727",727,11
"728",728,11
"729",729,11
"730",730,11
"731",731,11
"732",732,11
"733",733,11
"734",734,11
"735",735,11
"736",736,11
"737",737,11
"738",738,11
"739",739,11
"740",740,11
"741",741,11
"742",742,11
"743",743,11
"744",744,11
"745",745,11
"746",746,11
"747",747,11
"748",748,11
"749",749,11
"750",750,11
"751",751,11
"752",752,11
"753",753,11
"754",754,11
"755",755,11
"756",756,11
"757",757,11
"758",758,11
"759",759,11
"760",760,11
"761",761,11
"762",762,11
"763",763,11
"764",764,11
"765",765,11
"766",766,11
"767",767,11
"768",768,11
"769",769,11
"770",770,11
"771",771,11
"772",772,11
"773",773,11
"774",774,11
"775",775,11
"776",776,11
"777",777,11
"778",778,11
"779",779,11
"780",780,11
"781",781,11
"782",782,11
"783",783,11
"784",784,11
"785",785,11
"786",786,11
"787",787,11
"788",788,11
"789",789,11
"790",790,11
"791",791,11
"792",792,11
"793",793,11
"794",794,11
"795",795,11
"796",796,11
"797",797,11
"798",798,11
"799",799,11
"800",800,11
"801",801,11
"802",802,11
"803",803,11
"804",804,11
"805",805,11
"806",806,11
"807",807,11
"808",808,11
"809",809,11
"810",810,11
"811",811,11
"812",812,11
"813",813,11
"814",814,11
"815",815,11
"816",816,11
"817",817,11
"818",818,11
"819",819,11
"820",820,11
"821",821,11
"822",822,11
"823",823,11
"824",824,11
"825",825,11
"826",826,11
"827",827,11
"828",828,11
"829",829,12
"830",830,12
"831",831,12
"832",832,12
"833",833,12
"834",834,12
"835",835,12
"836",836,12
"837",837,12
"838",838,12
"839",839,12
"840",840,12
"841",841,12
"842",842,12
"843",843,12
"844",844,12
"845",845,12
"846",846,12
"847",847,12
"848",848,12
"849",849,12
"850",850,12
"851",851,12
"852",852,12
"853",853,12
"854",854,12
"855",855,12
"856",856,12
"857",857,12
"858",858,12
"859",859,12
"860",860,12
"861",861,12
"862",862,12
"863",863,12
"864",864,12
"865",865,12
"866",866,12
"867",867,12
"868",868,12
"869",869,12
"870",870,12
"871",871,12
"872",872,12
"873",873,12
"874",874,12
"875",875,12
"876",876,12
"877",877,12
"878",878,12
"879",879,12
"880",880,12
"881",881,12
"882",882,12
"883",883,12
"884",884,12
"885",885,12
"886",886,12
"887",887,12
"888",888,12
"889",889,12
"890",890,12
"891",891,12
"892",892,12
"893",893,12
"894",894,12
"895",895,12
"896",896,12
"897",897,12
"898",898,12
"899",899,12
"900",900,12
"901",901,12
"902",902,12
"903",903,12
"904",904,12
"905",905,12
"906",906,12
"907",907,12
"908",908,12
"909",909,12
"910",910,12
"911",911,12
"912",912,12
"913",913,12
"914",914,12
"915",915,12
"916",916,12
"917",917,12
"918",918,12
"919",919,12
"920",920,12
"921",921,12
"922",922,12
"923",923,12
"924",924,12
"925",925,12
"926",926,12
"927",927,12
"928",928,12
"929",929,12
"930",930,12
"931",931,12
"932",932,12
"933",933,12
"934",934,12
"935",935,12
"936",936,12
"937",937,12
"938",938,12
"939",939,12
"940",940,12
"941",941,12
"942",942,12
"943",943,12
"944",944,12
"945",945,12
"946",946,12
"947",947,12
"948",948,12
"949",949,12
"950",950,12
"951",951,12
"952",952,12
"953",953,12
"954",954,12
"955",955,12
"956",956,12
"957",957,12
"958",958,12
"959",959,12
"960",960,12
"961",961,12
"962",962,12
"963",963,12
"964",964,12
"965",965,12
"966",966,12
"967",967,12
"968",968,12
"969",969,12
"970",970,12
"971",971,12
"972",972,12
"973",973,12
"974",974,12
"975",975,12
"976",976,12
"977",977,12
"978",978,12
"979",979,12
"980",980,12
"981",981,12
"982",982,12
"983",983,12
"984",984,12
"985",985,12
"986",986,12
"987",987,12
"988",988,12
"989",989,12
"990",990,12
"991",991,12
"992",992,12
"993",993,12
"994",994,12
"995",995,12
"996",996,12
"997",997,12
"998",998,12
"999",999,12
"1000",1000,12
